x1,x2,Cluster
1.503749234,1.164654133,1
1.463149492,0.899262946,1
1.22573389,1.217082536,1
1.380166457,1.061614096,1
1.558909025,0.475754893,1
1.57795886,0.948746477,1
1.258384765,1.115788267,1
1.427264797,0.417605015,1
1.174665464,0.741899981,1
1.448704321,0.411474907,1
1.720355901,0.842564085,1
1.651156302,1.178514516,1
1.452353289,0.670549902,1
1.697488941,0.253186223,1
1.648278026,0.905763188,1
1.517869453,0.395464568,1
1.309011229,1.012306495,1
1.460969923,0.676732719,1
1.685104252,0.666186446,1
1.596595705,0.487653109,1
1.380737873,0.701232585,1
1.062942632,0.715153513,1
1.365026812,0.929728738,1
1.076187762,0.707717871,1
1.246960396,0.783009108,1
1.425267689,1.020054626,1
1.362488914,0.829193486,1
1.325568235,1.289267521,1
1.479647799,0.96818321,1
1.449243894,1.198869429,1
1.129251909,0.716352951,1
1.484410787,0.419980537,1
1.693713268,0.725255482,1
1.536985192,0.805396524,1
1.224011284,0.913121818,1
1.212897128,1.038802567,1
1.572417446,0.547796775,1
1.148182649,0.138358475,1
1.435091198,0.461583203,1
1.369687402,0.397607012,1
1.71731028,1.281534213,1
1.347491024,1.023327119,1
1.334267493,1.058624662,1
1.666894781,0.918546745,1
1.306469603,0.952735609,1
1.494236933,0.763234962,1
1.546505031,0.827775394,1
1.439758264,0.692636026,1
1.364477083,0.692103433,1
1.631045527,1.108571216,1
1.419872491,1.123367778,1
1.433088687,1.079534365,1
1.773590791,0.36176184,1
1.927553421,0.528177327,1
1.601163853,0.595895651,1
1.657268477,1.118949811,1
1.319557611,0.592276054,1
1.606579398,0.45991152,1
1.370821149,0.47161537,1
1.558197498,0.496128914,1
1.252481106,0.923083198,1
1.408764745,0.943322133,1
1.333935469,0.101036136,1
1.568023129,0.80487664,1
1.713275279,1.094106057,1
1.743225168,1.041904479,1
1.647138132,0.835880267,1
1.403758277,0.069015319,1
1.612548953,0.809306743,1
1.250736058,0.699275991,1
1.576184443,0.720867151,1
1.213914549,0.693244262,1
1.290310899,0.655653561,1
1.45629929,0.86682064,1
1.202012753,1.528973096,1
1.734541256,1.248889436,1
1.204034596,0.584837539,1
1.413922437,0.65988383,1
1.289672272,0.998877036,1
1.804517269,1.490053067,1
1.618565611,0.898253042,1
1.455467698,0.819159044,1
1.642578855,0.458131718,1
1.643320167,1.154123061,1
1.588048373,0.812416543,1
1.531766124,0.435921931,1
1.631952828,0.821958733,1
1.944103933,0.722802622,1
1.263210985,0.880041923,1
1.485208833,1.216317298,1
1.416729065,0.857923891,1
1.461703531,0.977694987,1
1.513908956,0.551007642,1
1.731069664,0.917771984,1
1.618991469,0.915460283,1
1.216070978,1.1153134,1
1.178664551,1.146739245,1
1.67858518,0.489668612,1
1.529633591,0.72365958,1
1.745405678,1.18210528,1
1.347639132,1.250763392,1
1.583875081,0.97712284,1
1.292011327,0.610794365,1
1.642314793,1.037704861,1
1.373357397,0.837615371,1
1.612634933,0.896826491,1
1.632197337,0.666325037,1
1.168389829,1.03005318,1
1.705633595,0.378949093,1
1.725590723,0.447185966,1
1.243969079,0.953478941,1
1.725773645,1.195029579,1
1.407173095,1.517873884,1
1.436847958,0.779669177,1
1.684858629,0.73886448,1
1.515428945,1.398930336,1
1.707984721,1.262965338,1
1.648377241,0.431498712,1
1.751108972,1.593346398,1
1.690183793,1.027104112,1
1.403726879,1.116603558,1
1.540576356,1.087383469,1
1.493652051,1.050163717,1
1.26088394,0.749217329,1
1.624736247,0.678669907,1
1.317039103,0.888680472,1
1.549751602,0.730437648,1
1.287475441,0.665576531,1
1.427203551,0.806693239,1
1.258601029,0.813340189,1
1.785842556,0.94421635,1
1.626687178,0.990685957,1
1.100636876,0.199777282,1
1.363633565,0.592803349,1
1.407988904,0.760806443,1
1.303386161,0.696724465,1
1.599066343,0.784276153,1
1.6451635,0.828837176,1
1.633459746,0.879922116,1
1.690957287,0.966438043,1
1.164933564,1.170633764,1
1.258962922,0.885540014,1
1.107349502,0.662362122,1
1.794150462,0.987043407,1
1.574494468,0.582801473,1
1.713175867,1.285825611,1
1.606129974,0.614997977,1
1.520396689,0.915362317,1
1.767556493,1.434356394,1
1.517446954,0.49142979,1
1.421779159,0.53396361,1
1.450026503,1.1813438,1
1.731020949,0.318474368,1
1.327054552,1.136682015,1
1.326664332,1.447531593,1
1.035796594,0.928473984,1
1.621766034,1.160353607,1
1.73000121,1.109507035,1
1.260080466,0.996162276,1
1.183999849,1.403624532,1
1.630633239,1.128388953,1
1.390118303,1.017922806,1
1.604210905,0.380102859,1
1.360119387,0.413661451,1
1.412218137,0.509475357,1
1.364536141,0.278994273,1
1.691828239,1.049509207,1
1.206365334,0.572314067,1
1.536752779,1.4465231,1
1.212970563,0.673022336,1
1.27252002,0.798305019,1
1.417070935,0.920108519,1
1.528786858,0.690296659,1
1.712404866,0.671256849,1
1.385841219,0.873409138,1
1.755436275,1.465932875,1
1.545657864,0.894280942,1
1.438237387,0.630864478,1
1.691965826,0.354291153,1
1.609764475,0.924589578,1
1.585102619,0.641580895,1
1.628700007,0.694858815,1
1.227938771,1.019186581,1
1.460298779,0.63301275,1
1.623860535,0.365071839,1
1.913641921,0.484401072,1
1.438943049,0.595148414,1
1.556249122,0.616117646,1
1.638263467,1.367234011,1
1.509272288,0.75637684,1
1.522605872,0.608172884,1
1.699066375,0.676647186,1
1.363769728,0.902837564,1
1.244588551,0.460025974,1
1.20626045,0.819821091,1
1.437305187,0.81139993,1
1.159268101,1.076319424,1
1.229897069,1.440489692,1
1.279581265,0.620051921,1
1.280091397,1.173333938,1
-0.231782807,0.293391176,2
0.27270062,0.796855705,2
0.674457625,0.749408923,2
-0.037530028,-0.882753814,2
-0.495343642,0.021046688,2
-0.982594681,-0.472939592,2
-0.980018281,-0.243686707,2
-0.576399126,-1.178344429,2
0.279114707,-1.166643724,2
-0.449695756,-0.209251312,2
-0.253147862,0.35307543,2
-0.206888369,0.140426257,2
-0.383851713,0.637834479,2
0.389174716,-0.134249438,2
0.667727845,0.032710776,2
-1.400572523,-0.384636286,2
-0.908794233,-0.729849606,2
-0.345935689,0.020881133,2
-0.050186488,0.621278764,2
-0.693631171,0.22867525,2
-0.010042631,-0.583041101,2
0.293222983,-0.912805657,2
-0.437251463,-1.144019398,2
0.100904976,0.13197646,2
0.044818203,-0.660977306,2
-0.291462946,-0.53467995,2
-0.48193574,0.678990559,2
0.291806419,-0.802568034,2
0.407406052,-0.555846586,2
0.338037672,-0.35045358,2
-0.249476612,-0.435034022,2
0.173560981,0.713724281,2
-0.192201262,0.054948563,2
0.132340844,0.708306716,2
-0.321797867,0.669404732,2
-0.223712511,-0.035433169,2
0.202958679,-0.060314426,2
-0.751118034,-0.180742769,2
-0.601681091,-0.890695361,2
-0.209312122,0.366270867,2
0.41869891,-0.273468374,2
-0.5037453,0.101767494,2
0.202717063,0.090567378,2
-0.090314033,0.149905682,2
-0.232152946,0.258146573,2
-0.561420998,0.559319021,2
-0.010741959,-0.924421221,2
0.355395591,0.132561672,2
-0.186101562,-0.013827637,2
-0.717034011,0.168192679,2
0.265587002,-0.786244296,2
-0.809353839,-0.250155357,2
-1.207334021,-0.697761954,2
-0.483011692,0.139058691,2
-0.314973153,-1.182909501,2
-0.374123325,-0.177413138,2
-0.337231508,-0.39528705,2
-0.215724354,0.059846952,2
0.154786395,-0.732061688,2
-0.34397936,0.307916618,2
-0.491581708,-0.151326617,2
0.500698248,0.795410244,2
-0.234415436,1.303265033,2
0.242545206,0.389357584,2
-0.207671135,-0.379328827,2
-0.797384071,0.566228132,2
0.880254649,0.1328108,2
-0.497477769,0.155287421,2
0.226077992,0.295453569,2
-0.212832693,0.772147343,2
-0.415983876,0.23646881,2
-0.970257427,-0.047325702,2
0.20313255,0.557062407,2
-0.311693919,-0.32937394,2
-0.699826342,0.721203931,2
0.299396451,0.297171023,2
-0.276885351,-0.150942284,2
0.164790492,0.093105496,2
-1.063307872,0.13269343,2
0.315844213,0.588516866,2
-0.371243986,-0.398069817,2
-0.302001157,-0.202496876,2
0.330863296,0.63433256,2
0.135476048,0.239356929,2
-0.786000271,-0.036746629,2
